1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,17,18,19,20,21,22,23,24,25,26,0,0,0
29,30,31,32,33,34,35,36,37,38,39,40,41,0,0
43,44,45,46,47,48,49,50,51,52,53,54,55,0,0
57,0,0,0,0,0,0,0,0,0,67,68,69,0,0
0,0,73,74,75,76,77,78,0,0,81,82,83,0,0
0,86,87,88,89,90,91,92,93,94,95,96,97,0,0
0,100,101,102,103,104,105,106,107,108,109,110,111,0,0
0,114,115,116,0,0,119,120,121,122,123,124,0,0,0
0,128,129,130,0,0,0,0,0,0,0,0,0,140,0
0,142,143,144,145,146,147,148,149,150,151,152,153,154,0
0,156,157,158,159,160,161,162,163,164,165,166,167,168,0
0,0,171,172,173,174,175,176,177,178,179,180,181,182,0
0,0,0,0,0,0,0,0,0,0,0,0,0,196,0
