0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,21,22,23,24,0,0,0,0,0
0,0,0,0,33,34,35,36,37,38,39,40,0,0,0
0,0,0,0,47,48,49,50,51,52,53,54,55,0,0
0,0,0,60,61,62,63,0,0,0,67,68,69,0,0
0,0,0,74,75,76,0,0,0,0,0,82,83,0,0
0,0,87,88,89,0,0,0,0,0,0,96,97,0,0
0,0,101,102,103,0,0,0,0,0,0,110,111,0,0
0,114,115,116,117,0,0,0,0,0,123,124,125,0,0
0,128,129,130,0,0,0,0,0,136,137,138,139,0,0
141,142,143,144,0,0,0,0,149,150,151,152,0,0,0
155,156,157,158,0,0,0,0,163,164,165,0,0,0,0
169,170,171,0,0,0,0,176,177,178,0,0,0,0,0
0,0,0,0,0,0,0,190,191,192,0,0,0,0,0
