0,0,0,0,0,0,0,0,9,10,11,0,0,0,0
0,0,17,18,19,20,21,22,23,24,0,0,0,0,0
0,30,31,32,33,0,0,0,0,0,0,0,0,0,0
0,44,45,0,0,0,0,50,51,52,53,54,0,0,0
0,58,0,0,0,0,63,64,65,0,67,68,69,0,0
0,72,73,0,0,0,77,78,0,0,0,82,83,0,0
0,86,87,88,0,90,91,92,0,0,0,0,97,0,0
0,0,101,102,103,104,105,0,0,0,0,0,111,0,0
0,0,0,0,0,0,0,0,0,0,0,124,125,0,0
0,0,0,0,0,0,0,0,0,0,137,138,139,0,0
0,0,143,0,0,146,147,0,0,150,151,152,153,0,0
0,156,157,158,159,160,161,162,163,164,165,166,167,0,0
0,170,171,172,173,174,175,176,177,178,179,180,0,0,0
0,184,185,186,0,0,0,0,0,0,0,0,0,0,0
